2026-02-22 17:23:23,251 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7722.0) | Best Ask: (Decimal('0.3800'), 9407.0)
2026-02-22 17:23:23,251 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 9407.0)
2026-02-22 17:23:23,273 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,274 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,274 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,275 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,305 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 16907.0)
2026-02-22 17:23:23,313 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 2500.0) | Best Ask: (Decimal('0.6400'), 14861.0)
2026-02-22 17:23:23,314 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 2229.0) | Best Ask: (Decimal('0.6400'), 14861.0)
2026-02-22 17:23:23,334 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 39869.0)
2026-02-22 17:23:23,336 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 16907.0)
2026-02-22 17:23:23,338 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 16907.0)
2026-02-22 17:23:23,339 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 2229.0) | Best Ask: (Decimal('0.6400'), 13698.0)
2026-02-22 17:23:23,340 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 2700.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,342 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 2229.0) | Best Ask: (Decimal('0.6400'), 13698.0)
2026-02-22 17:23:23,343 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 2700.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,346 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 4917.0) | Best Ask: (Decimal('0.6400'), 13698.0)
2026-02-22 17:23:23,348 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 42012.0)
2026-02-22 17:23:23,356 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 4917.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,357 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 7417.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,360 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DALIND-DAL | Best Bid: (0.51, 25.0) | Best Ask: (Decimal('0.5200'), 39204.0)
2026-02-22 17:23:23,363 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 24515.0)
2026-02-22 17:23:23,364 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 4281.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,365 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 4281.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,383 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 8290.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,415 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.36, 7717.0) | Best Ask: (Decimal('0.3800'), 24515.0)
2026-02-22 17:23:23,415 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 42012.0)
2026-02-22 17:23:23,416 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6290.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,417 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6290.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,418 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6290.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,419 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6290.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,421 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,434 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,450 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,451 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 4281.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,451 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,458 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,459 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,460 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 4281.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,461 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 4281.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,479 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,488 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24515.0)
2026-02-22 17:23:23,552 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,554 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,562 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:23,567 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 42012.0)
2026-02-22 17:23:23,570 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 42012.0)
2026-02-22 17:23:23,573 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 83083.0)
2026-02-22 17:23:23,574 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24493.0)
2026-02-22 17:23:23,582 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 42027.0)
2026-02-22 17:23:23,604 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,606 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 50.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,630 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 41892.0)
2026-02-22 17:23:23,657 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 5417.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,658 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 5467.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,659 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 5467.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,675 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BOSLAL-LAL | Best Bid: (0.49, 5548.0) | Best Ask: (Decimal('0.5000'), 1222552.0)
2026-02-22 17:23:23,681 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6340.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,681 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BOSLAL-BOS | Best Bid: (0.51, 2689.0) | Best Ask: (Decimal('0.5200'), 784759.0)
2026-02-22 17:23:23,682 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BOSLAL-LAL | Best Bid: (0.49, 5548.0) | Best Ask: (Decimal('0.5000'), 1222552.0)
2026-02-22 17:23:23,692 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6340.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:23,701 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BOSLAL-LAL | Best Bid: (0.49, 5548.0) | Best Ask: (Decimal('0.5000'), 1222892.0)
2026-02-22 17:23:23,788 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BOSLAL-LAL | Best Bid: (0.49, 5548.0) | Best Ask: (Decimal('0.5000'), 1222873.0)
2026-02-22 17:23:24,080 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 80785.0)
2026-02-22 17:23:24,082 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 78487.0)
2026-02-22 17:23:24,087 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 76189.0)
2026-02-22 17:23:24,088 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 73891.0)
2026-02-22 17:23:24,089 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:24,090 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:24,090 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
