2026-03-01 22:13:37,037 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,057 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01SACLAL-SAC | Best Bid: (0.02, 19214.0) | Best Ask: (Decimal('0.0300'), 48462.0)
2026-03-01 22:13:37,060 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 57774.0)
2026-03-01 22:13:37,068 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,076 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,094 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,104 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 60980.0)
2026-03-01 22:13:37,109 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,139 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,150 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,152 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,164 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,172 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,216 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,243 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 61730.0)
2026-03-01 22:13:37,274 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 64936.0)
2026-03-01 22:13:37,297 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,327 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,330 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,359 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 65007.0)
2026-03-01 22:13:37,361 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,362 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 563.0) | Best Ask: (Decimal('0.9400'), 72162.0)
2026-03-01 22:13:37,382 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 563.0) | Best Ask: (Decimal('0.9400'), 68956.0)
2026-03-01 22:13:37,398 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,428 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,458 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 563.0) | Best Ask: (Decimal('0.9400'), 68956.0)
2026-03-01 22:13:37,459 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 563.0) | Best Ask: (Decimal('0.9400'), 68956.0)
2026-03-01 22:13:37,534 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 64730.0)
2026-03-01 22:13:37,592 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,601 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 66449.0)
2026-03-01 22:13:37,625 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,643 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,650 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,658 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 66520.0)
2026-03-01 22:13:37,662 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,711 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73982.0)
2026-03-01 22:13:37,743 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73982.0)
2026-03-01 22:13:37,783 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73982.0)
2026-03-01 22:13:37,832 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73982.0)
2026-03-01 22:13:37,856 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 67270.0)
2026-03-01 22:13:37,906 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70476.0)
2026-03-01 22:13:37,953 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70547.0)
2026-03-01 22:13:38,006 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70547.0)
2026-03-01 22:13:38,008 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 71297.0)
2026-03-01 22:13:38,025 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 71268.0)
2026-03-01 22:13:38,035 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 563.0) | Best Ask: (Decimal('0.9400'), 68804.0)
2026-03-01 22:13:38,096 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73932.0)
2026-03-01 22:13:38,123 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73932.0)
2026-03-01 22:13:38,174 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73932.0)
2026-03-01 22:13:38,175 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,220 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,261 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,265 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 71016.0)
2026-03-01 22:13:38,266 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70268.0)
2026-03-01 22:13:38,310 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,311 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,333 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70242.0)
2026-03-01 22:13:38,362 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,384 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,412 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70231.0)
2026-03-01 22:13:38,416 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73649.0)
2026-03-01 22:13:38,505 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 413.0) | Best Ask: (Decimal('0.9400'), 68804.0)
2026-03-01 22:13:38,507 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 413.0) | Best Ask: (Decimal('0.9400'), 68804.0)
