2026-02-26 21:21:25,132 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,179 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,179 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,277 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,277 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,297 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,297 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,367 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,367 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,583 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,583 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,686 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,695 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,774 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,774 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,786 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,786 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,836 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,836 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,903 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26 | Best Bid: (Decimal('0.740'), Decimal('3270.000')) | Best Ask: (Decimal('0.760'), Decimal('30.000'))
2026-02-26 21:21:25,903 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26-inverse | Best Bid: (Decimal('0.240'), Decimal('30.000')) | Best Ask: (Decimal('0.260'), Decimal('3270.000'))
2026-02-26 21:21:25,914 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,914 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,979 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,979 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:26,076 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:26,077 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:26,116 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26 | Best Bid: (Decimal('0.740'), Decimal('3270.000')) | Best Ask: (Decimal('0.760'), Decimal('30.000'))
2026-02-26 21:21:26,116 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26-inverse | Best Bid: (Decimal('0.240'), Decimal('30.000')) | Best Ask: (Decimal('0.260'), Decimal('3270.000'))
2026-02-26 21:21:26,204 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
