2026-02-27 21:32:21,504 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,504 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,504 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,508 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,508 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,516 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,517 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,519 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,537 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,539 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,555 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,555 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,557 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,557 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-DAL | Best Bid: (0.16, 19342.0) | Best Ask: (Decimal('0.1700'), 11172.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8400'), 131800.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,564 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1447.0)
2026-02-27 21:32:21,575 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1447.0)
2026-02-27 21:32:21,583 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1447.0)
2026-02-27 21:32:21,583 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,596 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2800'), 15.0)
2026-02-27 21:32:21,615 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1449.0)
2026-02-27 21:32:21,615 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1449.0)
2026-02-27 21:32:21,633 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,643 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,643 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,643 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,654 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8400'), 131800.0)
2026-02-27 21:32:21,654 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8400'), 131800.0)
2026-02-27 21:32:21,654 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8400'), 131800.0)
2026-02-27 21:32:21,654 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8400'), 131800.0)
2026-02-27 21:32:21,654 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,663 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,663 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27DENOKC-DEN | Best Bid: (0.3, 9397.0) | Best Ask: (Decimal('0.3100'), 439657.0)
2026-02-27 21:32:21,663 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,663 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1938.0)
2026-02-27 21:32:21,675 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,677 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,678 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,678 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 600.0)
2026-02-27 21:32:21,683 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,683 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,689 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1870.0)
2026-02-27 21:32:21,690 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 1870.0)
2026-02-27 21:32:21,690 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,690 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,693 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1870.0)
