2026-03-01 22:13:30,912 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (Decimal('0.980'), Decimal('3977.000')) | Best Ask: (None, None)
2026-03-01 22:13:30,913 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (Decimal('0.020'), Decimal('3977.000'))
2026-03-01 22:13:31,139 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('322.000'))
2026-03-01 22:13:31,139 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('322.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:31,961 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('322.000'))
2026-03-01 22:13:31,962 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('322.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:33,063 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.010'), Decimal('9774.000')) | Best Ask: (Decimal('0.030'), Decimal('1278.000'))
2026-03-01 22:13:33,063 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.970'), Decimal('1278.000')) | Best Ask: (Decimal('0.990'), Decimal('9774.000'))
2026-03-01 22:13:33,159 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.010'), Decimal('9774.000')) | Best Ask: (Decimal('0.030'), Decimal('1278.000'))
2026-03-01 22:13:33,160 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.970'), Decimal('1278.000')) | Best Ask: (Decimal('0.990'), Decimal('9774.000'))
2026-03-01 22:13:36,024 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:36,024 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:36,068 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:36,068 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:36,390 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01 | Best Bid: (Decimal('0.010'), Decimal('9774.000')) | Best Ask: (Decimal('0.030'), Decimal('1278.000'))
2026-03-01 22:13:36,390 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-lal-2026-03-01-inverse | Best Bid: (Decimal('0.970'), Decimal('1278.000')) | Best Ask: (Decimal('0.990'), Decimal('9774.000'))
2026-03-01 22:13:36,570 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('175.000'))
2026-03-01 22:13:36,570 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('175.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:36,631 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('205.000'))
