2026-02-22 17:23:33,742 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('250.000'))
2026-02-22 17:23:33,743 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('250.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:34,022 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3211.000'))
2026-02-22 17:23:34,022 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3211.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:35,047 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:35,047 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:35,282 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22 | Best Bid: (Decimal('0.810'), Decimal('45769.000')) | Best Ask: (Decimal('0.820'), Decimal('16877.000'))
2026-02-22 17:23:35,282 | INFO | Loaded snapshot for Asset ID: aec-nba-cha-was-2026-02-22-inverse | Best Bid: (Decimal('0.180'), Decimal('16877.000')) | Best Ask: (Decimal('0.190'), Decimal('45769.000'))
2026-02-22 17:23:36,162 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,162 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,170 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('2577.000'))
2026-02-22 17:23:36,170 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('2577.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,172 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,172 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,192 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,192 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,206 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,206 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,232 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('2577.000'))
2026-02-22 17:23:36,232 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('2577.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,242 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,242 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,256 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,256 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,273 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('2577.000'))
2026-02-22 17:23:36,273 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('2577.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,362 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,362 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,382 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,382 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,462 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('150.000'))
2026-02-22 17:23:36,462 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('150.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,462 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,462 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,471 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('150.000'))
2026-02-22 17:23:36,471 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('150.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,471 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,471 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,492 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,492 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,514 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.410'), Decimal('262.000'))
2026-02-22 17:23:36,514 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.590'), Decimal('262.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,516 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,516 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,516 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.420'), Decimal('5777.000'))
