2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR131610TEXCOL-COL | Best Bid: (0.44, 673.0) | Best Ask: (Decimal('0.4700'), 1608.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.43, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.44, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605LADCWS-CWS | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6900'), 118.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605LADCWS-CWS | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6900'), 118.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141610CLESD-CLE | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.7200'), 50.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141610CLESD-CLE | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.7200'), 50.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.44, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,864 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,864 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 1268.0)
2026-03-12 22:21:44,865 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 1268.0)
2026-03-12 22:21:44,865 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.44, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,866 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605LADCWS-CWS | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6900'), 118.0)
2026-03-12 22:21:44,866 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605LADCWS-CWS | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6900'), 118.0)
2026-03-12 22:21:44,867 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141610CLESD-CLE | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.7200'), 50.0)
2026-03-12 22:21:44,867 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141610CLESD-CLE | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.7200'), 50.0)
2026-03-12 22:21:44,868 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.45, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,868 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 1268.0)
2026-03-12 22:21:44,869 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 1268.0)
2026-03-12 22:21:44,869 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,870 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,870 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,871 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,872 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.45, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,873 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.46, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,873 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605KCATH-ATH | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6700'), 146.0)
2026-03-12 22:21:44,873 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605KCATH-ATH | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6700'), 146.0)
2026-03-12 22:21:44,874 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,875 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,875 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.46, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,876 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5400'), 1268.0)
2026-03-12 22:21:44,876 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 2000.0)
2026-03-12 22:21:44,877 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5500'), 732.0)
