2026-03-07 12:00:26,907 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1936.000'))
2026-03-07 12:00:26,908 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1936.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:26,908 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('550.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('550.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:26,909 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:26,911 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:26,962 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:26,962 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
