2026-02-26 21:38:58,148 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,224 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,234 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 55.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,235 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,262 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,264 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,264 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-ORL | Best Bid: (0.82, 9012.0) | Best Ask: (Decimal('0.6100'), 15130.0)
2026-02-26 21:38:58,265 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 55.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,266 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 55.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,266 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,267 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
