timestamp,ticker,best_bid_price,best_bid_size,best_ask_price,best_ask_size,bid_levels,ask_levels,spread
2026-02-08T18:56:17.839398,KXSB-26-SEA,0.69,75241.0,0.7,779196.0,69,29,0.01
2026-02-08T18:56:18.841245,KXSB-26-NE,0.33,467.0,0.35,887828.0,33,65,0.02
2026-02-08T18:56:18.841245,KXSB-26-SEA,0.69,75241.0,0.7,779196.0,69,29,0.01
2026-02-08T18:56:19.843678,KXSB-26-NE,0.33,467.0,0.34,23925.0,33,66,0.01
2026-02-08T18:56:19.843678,KXSB-26-SEA,0.69,41168.0,0.7,776520.0,69,29,0.01
2026-02-08T18:56:20.848490,KXSB-26-NE,0.33,467.0,0.34,23925.0,33,66,0.01
2026-02-08T18:56:20.848490,KXSB-26-SEA,0.69,41168.0,0.7,776520.0,69,29,0.01
2026-02-08T18:56:21.849938,KXSB-26-NE,0.33,467.0,0.34,19220.0,33,66,0.01
2026-02-08T18:56:21.849938,KXSB-26-SEA,0.69,41113.0,0.7,775722.0,69,29,0.01
2026-02-08T18:56:22.851155,KXSB-26-NE,0.33,467.0,0.34,19220.0,33,66,0.01
2026-02-08T18:56:22.851155,KXSB-26-SEA,0.69,41113.0,0.7,775722.0,69,29,0.01
2026-02-08T18:56:23.852196,KXSB-26-NE,0.33,467.0,0.34,14781.0,33,66,0.01
2026-02-08T18:56:23.852196,KXSB-26-SEA,0.69,40773.0,0.7,774503.0,69,29,0.01
2026-02-08T18:56:24.854026,KXSB-26-NE,0.33,467.0,0.34,14781.0,33,66,0.01
2026-02-08T18:56:24.854026,KXSB-26-SEA,0.69,40773.0,0.7,774503.0,69,29,0.01
2026-02-08T18:56:25.854861,KXSB-26-NE,0.33,467.0,0.34,13081.0,33,66,0.01
2026-02-08T18:56:25.854861,KXSB-26-SEA,0.69,40724.0,0.7,771558.0,69,29,0.01
2026-02-08T18:56:26.856839,KXSB-26-NE,0.33,467.0,0.34,13081.0,33,66,0.01
2026-02-08T18:56:26.856839,KXSB-26-SEA,0.69,40724.0,0.7,771558.0,69,29,0.01
2026-02-08T18:56:27.858769,KXSB-26-NE,0.33,467.0,0.34,7509.0,33,66,0.01
2026-02-08T18:56:27.858769,KXSB-26-SEA,0.69,40724.0,0.7,770923.0,69,29,0.01
2026-02-08T18:56:28.859811,KXSB-26-NE,0.33,467.0,0.34,7509.0,33,66,0.01
2026-02-08T18:56:28.859811,KXSB-26-SEA,0.69,40724.0,0.7,770923.0,69,29,0.01
2026-02-08T18:56:29.861496,KXSB-26-NE,0.33,466.0,0.34,1699.0,33,66,0.01
2026-02-08T18:56:29.861496,KXSB-26-SEA,0.69,40571.0,0.7,769390.0,69,29,0.01
2026-02-08T18:56:30.863432,KXSB-26-NE,0.33,466.0,0.34,1699.0,33,66,0.01
2026-02-08T18:56:30.863432,KXSB-26-SEA,0.69,40571.0,0.7,769390.0,69,29,0.01
2026-02-08T18:56:31.864542,KXSB-26-NE,0.34,50.0,0.35,895743.0,34,65,0.01
2026-02-08T18:56:31.864542,KXSB-26-SEA,0.69,40571.0,0.7,768722.0,69,29,0.01
2026-02-08T18:56:32.865768,KXSB-26-NE,0.32,10809.0,0.34,14224.0,32,66,0.02
2026-02-08T18:56:32.865768,KXSB-26-SEA,0.69,17262.0,0.7,766649.0,69,29,0.01
2026-02-08T18:56:33.867434,KXSB-26-NE,0.32,10809.0,0.34,13280.0,32,66,0.02
2026-02-08T18:56:33.867434,KXSB-26-SEA,0.69,16955.0,0.7,766542.0,69,29,0.01
2026-02-08T18:56:34.869370,KXSB-26-NE,0.32,10809.0,0.33,100.0,32,67,0.01
2026-02-08T18:56:34.869370,KXSB-26-SEA,0.69,16955.0,0.7,759874.0,69,29,0.01
2026-02-08T18:56:35.872116,KXSB-26-NE,0.32,10809.0,0.33,100.0,32,67,0.01
2026-02-08T18:56:35.872116,KXSB-26-SEA,0.69,16955.0,0.7,759874.0,69,29,0.01
2026-02-08T18:56:36.873797,KXSB-26-NE,0.32,10809.0,0.33,100.0,32,67,0.01
2026-02-08T18:56:36.873797,KXSB-26-SEA,0.69,16955.0,0.7,759874.0,69,29,0.01
2026-02-08T18:56:37.874949,KXSB-26-NE,0.33,38.0,0.34,9740.0,33,66,0.01
2026-02-08T18:56:37.874949,KXSB-26-SEA,0.69,16661.0,0.7,805305.0,69,29,0.01
2026-02-08T18:56:38.876553,KXSB-26-NE,0.33,38.0,0.34,9740.0,33,66,0.01
2026-02-08T18:56:38.876553,KXSB-26-SEA,0.69,16661.0,0.7,805305.0,69,29,0.01
2026-02-08T18:56:39.878608,KXSB-26-NE,0.32,7819.0,0.34,29155.0,32,66,0.02
2026-02-08T18:56:39.878608,KXSB-26-SEA,0.69,14533.0,0.7,804509.0,69,29,0.01
2026-02-08T18:56:40.881805,KXSB-26-NE,0.32,7819.0,0.34,29155.0,32,66,0.02
2026-02-08T18:56:40.881805,KXSB-26-SEA,0.69,14533.0,0.7,804509.0,69,29,0.01
2026-02-08T18:56:41.883059,KXSB-26-NE,0.32,7819.0,0.34,29155.0,32,66,0.02
2026-02-08T18:56:41.883059,KXSB-26-SEA,0.69,14533.0,0.7,804509.0,69,29,0.01
2026-02-08T18:56:42.884310,KXSB-26-NE,0.32,7786.0,0.34,24916.0,32,66,0.02
2026-02-08T18:56:42.884310,KXSB-26-SEA,0.69,16533.0,0.7,803155.0,69,29,0.01
2026-02-08T18:56:43.886108,KXSB-26-NE,0.32,7786.0,0.34,24916.0,32,66,0.02
2026-02-08T18:56:43.886108,KXSB-26-SEA,0.69,16533.0,0.7,803155.0,69,29,0.01
2026-02-08T18:56:44.888509,KXSB-26-NE,0.32,7242.0,0.34,22980.0,32,66,0.02
2026-02-08T18:56:44.888509,KXSB-26-SEA,0.69,79373.0,0.7,801703.0,69,29,0.01
2026-02-08T18:56:45.890188,KXSB-26-NE,0.32,7242.0,0.34,22980.0,32,66,0.02
2026-02-08T18:56:45.890188,KXSB-26-SEA,0.69,79373.0,0.7,801703.0,69,29,0.01
2026-02-08T18:56:46.891653,KXSB-26-NE,0.32,7242.0,0.33,61868.0,32,67,0.01
2026-02-08T18:56:46.891653,KXSB-26-SEA,0.69,79373.0,0.7,800841.0,69,29,0.01
2026-02-08T18:56:47.894157,KXSB-26-NE,0.32,7242.0,0.33,61556.0,32,67,0.01
2026-02-08T18:56:47.894157,KXSB-26-SEA,0.69,79373.0,0.7,800779.0,69,29,0.01
2026-02-08T18:56:48.896564,KXSB-26-NE,0.32,7156.0,0.33,244024.0,32,67,0.01
2026-02-08T18:56:48.896564,KXSB-26-SEA,0.69,79277.0,0.7,800151.0,69,30,0.01
2026-02-08T18:56:49.898412,KXSB-26-NE,0.32,7156.0,0.33,244024.0,32,67,0.01
2026-02-08T18:56:49.898412,KXSB-26-SEA,0.69,79277.0,0.7,800151.0,69,30,0.01
2026-02-08T18:56:50.900053,KXSB-26-NE,0.32,7156.0,0.33,244024.0,32,67,0.01
2026-02-08T18:56:50.900053,KXSB-26-SEA,0.69,79277.0,0.7,800151.0,69,30,0.01
2026-02-08T18:56:51.902465,KXSB-26-NE,0.32,7231.0,0.33,242098.0,32,67,0.01
2026-02-08T18:56:51.902465,KXSB-26-SEA,0.69,79221.0,0.7,836839.0,69,30,0.01
2026-02-08T18:56:52.904270,KXSB-26-NE,0.32,7231.0,0.33,242098.0,32,67,0.01
2026-02-08T18:56:52.904270,KXSB-26-SEA,0.69,79221.0,0.7,836839.0,69,30,0.01
2026-02-08T18:56:53.906088,KXSB-26-NE,0.32,7231.0,0.33,242098.0,32,67,0.01
2026-02-08T18:56:53.906088,KXSB-26-SEA,0.69,79221.0,0.7,836839.0,69,30,0.01
2026-02-08T18:56:54.911126,KXSB-26-NE,0.32,7473.0,0.33,235138.0,32,67,0.01
2026-02-08T18:56:54.911126,KXSB-26-SEA,0.69,79241.0,0.7,836378.0,69,29,0.01
2026-02-08T18:56:55.911987,KXSB-26-NE,0.32,7473.0,0.33,235138.0,32,67,0.01
2026-02-08T18:56:55.911987,KXSB-26-SEA,0.69,79241.0,0.7,836378.0,69,29,0.01
2026-02-08T18:56:56.913741,KXSB-26-NE,0.32,7473.0,0.33,234915.0,32,67,0.01
2026-02-08T18:56:56.913741,KXSB-26-SEA,0.69,79241.0,0.7,836452.0,69,29,0.01
2026-02-08T18:56:57.916176,KXSB-26-NE,0.32,7473.0,0.33,227343.0,32,67,0.01
2026-02-08T18:56:57.916176,KXSB-26-SEA,0.69,79141.0,0.7,832467.0,69,29,0.01
2026-02-08T18:56:58.918207,KXSB-26-NE,0.32,7473.0,0.33,227343.0,32,67,0.01
2026-02-08T18:56:58.918207,KXSB-26-SEA,0.69,79141.0,0.7,832467.0,69,29,0.01
2026-02-08T18:56:59.920684,KXSB-26-NE,0.32,7529.0,0.33,217602.0,32,67,0.01
2026-02-08T18:56:59.920684,KXSB-26-SEA,0.69,79092.0,0.7,89365.0,69,29,0.01
2026-02-08T18:57:00.923325,KXSB-26-NE,0.32,7529.0,0.33,217602.0,32,67,0.01
2026-02-08T18:57:00.923325,KXSB-26-SEA,0.69,79092.0,0.7,89365.0,69,29,0.01
2026-02-08T18:57:01.924906,KXSB-26-NE,0.32,7529.0,0.33,215426.0,32,67,0.01
2026-02-08T18:57:01.924906,KXSB-26-SEA,0.69,79092.0,0.7,89028.0,69,29,0.01
2026-02-08T18:57:02.926799,KXSB-26-NE,0.32,17529.0,0.33,211139.0,32,67,0.01
2026-02-08T18:57:02.926799,KXSB-26-SEA,0.69,79060.0,0.7,88843.0,69,29,0.01
2026-02-08T18:57:03.928515,KXSB-26-NE,0.32,17529.0,0.33,211139.0,32,67,0.01
2026-02-08T18:57:03.928515,KXSB-26-SEA,0.69,79060.0,0.7,88843.0,69,29,0.01
